SID,article_number,sharing_type,score
s160,49,msg_share_narrow,53
s163,20,msg_share_narrow,0
s167,80,msg_share_narrow,79
s170,62,msg_share_narrow,87
s177,28,msg_share_narrow,50
s184,98,msg_share_narrow,49
s186,54,msg_share_narrow,47
s189,27,msg_share_narrow,0
s192,55,msg_share_narrow,57
s194,36,msg_share_narrow,1
s196,35,msg_share_narrow,57
s198,86,msg_share_narrow,94
s201,85,msg_share_narrow,27
s204,18,msg_share_narrow,9
s206,86,msg_share_narrow,83
s208,53,msg_share_narrow,85
s211,61,msg_share_narrow,0
s214,40,msg_share_narrow,83
s216,15,msg_share_narrow,33
s218,55,msg_share_narrow,40
s222,8,msg_share_narrow,51
s224,86,msg_share_narrow,0
s230,32,msg_share_narrow,15
s235,81,msg_share_narrow,80
s237,60,msg_share_narrow,61
s243,63,msg_share_narrow,70
s248,12,msg_share_narrow,81
s250,69,msg_share_narrow,100
s255,59,msg_share_narrow,0
s258,17,msg_share_narrow,99
s260,55,msg_share_narrow,7
s262,52,msg_share_narrow,88
s268,41,msg_share_narrow,100
s273,6,msg_share_narrow,26
s275,54,msg_share_narrow,21
s277,98,msg_share_narrow,100
s279,32,msg_share_narrow,62
s281,2,msg_share_narrow,18
s287,36,msg_share_narrow,4
s292,70,msg_share_narrow,10
s295,104,msg_share_narrow,17
s299,25,msg_share_narrow,0
s301,63,msg_share_narrow,1
s305,90,msg_share_narrow,58
s308,56,msg_share_narrow,51
s313,86,msg_share_narrow,3
s316,70,msg_share_narrow,35
s319,72,msg_share_narrow,87
s321,88,msg_share_narrow,82
s324,72,msg_share_narrow,1
s327,40,msg_share_narrow,82
s329,7,msg_share_narrow,100
s331,70,msg_share_narrow,66
s337,22,msg_share_narrow,0
s344,60,msg_share_narrow,65
s348,98,msg_share_narrow,78
s352,56,msg_share_narrow,88
s358,3,msg_share_narrow,80
s361,20,msg_share_narrow,0
s364,101,msg_share_narrow,44
s371,15,msg_share_narrow,0
s373,4,msg_share_narrow,52
s380,21,msg_share_narrow,4
s387,94,msg_share_narrow,11
s394,19,msg_share_narrow,63
s396,92,msg_share_narrow,100
s400,86,msg_share_narrow,92
s402,35,msg_share_narrow,84
s406,56,msg_share_narrow,30
s412,100,msg_share_narrow,60
s415,64,msg_share_narrow,37
s419,90,msg_share_narrow,19
s421,15,msg_share_narrow,64
s423,6,msg_share_narrow,24
s432,78,msg_share_narrow,19
s435,70,msg_share_narrow,84
s437,104,msg_share_narrow,52
s442,42,msg_share_narrow,66
s445,14,msg_share_narrow,77
s448,38,msg_share_narrow,71
s450,26,msg_share_narrow,0
s454,5,msg_share_narrow,11
s457,30,msg_share_narrow,25
s462,108,msg_share_narrow,0
s466,12,msg_share_narrow,55
s470,42,msg_share_narrow,12
s473,65,msg_share_narrow,63
s478,86,msg_share_narrow,100
s481,10,msg_share_narrow,67
s483,98,msg_share_narrow,100
s487,51,msg_share_narrow,75
s490,40,msg_share_narrow,18
s493,18,msg_share_narrow,74
s495,8,msg_share_narrow,100
s497,73,msg_share_narrow,14
s499,28,msg_share_narrow,30
s504,59,msg_share_narrow,95
s506,102,msg_share_narrow,59
s512,55,msg_share_narrow,0
s514,47,msg_share_narrow,1
s516,91,msg_share_narrow,64
s520,80,msg_share_narrow,0
s526,38,msg_share_narrow,61
s529,78,msg_share_narrow,61
s531,53,msg_share_narrow,80
s533,69,msg_share_narrow,50
s537,36,msg_share_narrow,51
s540,12,msg_share_narrow,58
s543,30,msg_share_narrow,6
s545,94,msg_share_narrow,72
s547,39,msg_share_narrow,16
s551,82,msg_share_narrow,63
s553,6,msg_share_narrow,6
s555,37,msg_share_narrow,62
s559,93,msg_share_narrow,35
s563,53,msg_share_narrow,17
s568,80,msg_share_narrow,99
s571,24,msg_share_narrow,27
s574,17,msg_share_narrow,0
s576,102,msg_share_narrow,9
s578,12,msg_share_narrow,50
s582,38,msg_share_narrow,78
s584,90,msg_share_narrow,43
s588,74,msg_share_narrow,100
s592,86,msg_share_narrow,3
s594,29,msg_share_narrow,71
s598,86,msg_share_narrow,74
s600,94,msg_share_narrow,68
s606,36,msg_share_narrow,81
s610,24,msg_share_narrow,66
s615,31,msg_share_narrow,77
s618,71,msg_share_narrow,26
s620,89,msg_share_narrow,100
s622,44,msg_share_narrow,82
s624,10,msg_share_narrow,89
s627,11,msg_share_narrow,0
